awardYear,simple_category,motivation
1963,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
1964,Chemistry,for her determinations by X-ray techniques of the structures of important biochemical substances
1964,Literature,"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age"
1964,Peace,for his non-violent struggle for civil rights for the Afro-American population
1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
1964,Physiology or Medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
1964,Physiology or Medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
1965,Chemistry,for his outstanding achievements in the art of organic synthesis
1965,Literature,"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people"
1965,Peace,for its effort to enhance solidarity between nations and reduce the difference between rich and poor states
1965,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
1965,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
1965,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
1965,Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis
1965,Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis
1965,Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis
1966,Chemistry,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method
1966,Literature,for his profoundly characteristic narrative art with motifs from the life of the Jewish people
1966,Literature,"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength"
1966,Physics,for the discovery and development of optical methods for studying Hertzian resonances in atoms
1966,Physiology or Medicine,for his discovery of tumour-inducing viruses
1966,Physiology or Medicine,for his discoveries concerning hormonal treatment of prostatic cancer
1967,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
1967,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
1967,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
1967,Literature,"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America"
1967,Physics,"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars"
1967,Physiology or Medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye
1967,Physiology or Medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye
1967,Physiology or Medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye
1968,Chemistry,"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes"
1968,Literature,"for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind"
1968,Peace,for his struggle to ensure the rights of man as stipulated in the UN Declaration
1968,Physics,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis"
1968,Physiology or Medicine,for their interpretation of the genetic code and its function in protein synthesis
1968,Physiology or Medicine,for their interpretation of the genetic code and its function in protein synthesis
1968,Physiology or Medicine,for their interpretation of the genetic code and its function in protein synthesis
1969,Chemistry,for their contributions to the development of the concept of conformation and its application in chemistry
1969,Chemistry,for their contributions to the development of the concept of conformation and its application in chemistry
1969,Economic Sciences,for having developed and applied dynamic models for the analysis of economic processes
1969,Economic Sciences,for having developed and applied dynamic models for the analysis of economic processes
1969,Literature,"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation"
1969,Peace,for creating international legislation insuring certain norms for working conditions in every country
1969,Physics,for his contributions and discoveries concerning the classification of elementary particles and their interactions
1969,Physiology or Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses
1969,Physiology or Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses
1969,Physiology or Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses
1970,Chemistry,for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates
1970,Economic Sciences,for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science
1970,Literature,for the ethical force with which he has pursued the indispensable traditions of Russian literature
1970,Peace,for having given a well-founded hope - the green revolution
1970,Physics,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics
1970,Physics,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics
1970,Physiology or Medicine,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation"
1970,Physiology or Medicine,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation"
1970,Physiology or Medicine,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation"
1971,Chemistry,"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals"
1971,Economic Sciences,for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development
1971,Literature,for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams
1971,Peace,for paving the way for a meaningful dialogue between East and West
1971,Physics,for his invention and development of the holographic method
1971,Physiology or Medicine,for his discoveries concerning the mechanisms of the action of hormones
1972,Chemistry,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation"
1972,Chemistry,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
1972,Chemistry,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
1972,Economic Sciences,for their pioneering contributions to general economic equilibrium theory and welfare theory
1972,Economic Sciences,for their pioneering contributions to general economic equilibrium theory and welfare theory
1972,Literature,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature
1972,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
1972,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
1972,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
1972,Physiology or Medicine,for their discoveries concerning the chemical structure of antibodies
1972,Physiology or Medicine,for their discoveries concerning the chemical structure of antibodies
1973,Chemistry,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"
1973,Chemistry,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"
1973,Economic Sciences,for the development of the input-output method and for its application to important economic problems
1973,Literature,for an epic and psychological narrative art which has introduced a new continent into literature
1973,Peace,for jointly having negotiated a cease fire in Vietnam in 1973
1973,Peace,for jointly having negotiated a cease fire in Vietnam in 1973
1973,Physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
1973,Physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
1973,Physics,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects"
1973,Physiology or Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
1973,Physiology or Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
1973,Physiology or Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
1974,Chemistry,"for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules"
1974,Economic Sciences,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena"
1974,Economic Sciences,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena"
1974,Literature,"for a narrative art, far-seeing in lands and ages, in the service of freedom"
1974,Literature,for writings that catch the dewdrop and reflect the cosmos
1974,Peace,for his efforts to secure and develop human rights throughout the world
1974,Peace,for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty
1974,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
1974,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell
1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell
1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell
1975,Chemistry,for his work on the stereochemistry of enzyme-catalyzed reactions
1975,Chemistry,for his research into the stereochemistry of organic molecules and reactions
1975,Economic Sciences,for their contributions to the theory of optimum allocation of resources
1975,Economic Sciences,for their contributions to the theory of optimum allocation of resources
1975,Literature,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions"
1975,Peace,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations"
1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
1975,Physiology or Medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
1975,Physiology or Medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
1975,Physiology or Medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
1976,Chemistry,for his studies on the structure of boranes illuminating problems of chemical bonding
1976,Economic Sciences,"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy"
1976,Literature,for the human understanding and subtle analysis of contemporary culture that are combined in his work
1976,Peace,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland
1976,Peace,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland
1976,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind
1976,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind
1976,Physiology or Medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
1976,Physiology or Medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
1977,Chemistry,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures"
1977,Economic Sciences,for their pathbreaking contribution to the theory of international trade and international capital movements
1977,Economic Sciences,for their pathbreaking contribution to the theory of international trade and international capital movements
1977,Literature,"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars"
1977,Peace,for worldwide respect for human rights
1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
1977,Physiology or Medicine,for their discoveries concerning the peptide hormone production of the brain
1977,Physiology or Medicine,for their discoveries concerning the peptide hormone production of the brain
1977,Physiology or Medicine,for the development of radioimmunoassays of peptide hormones
1978,Chemistry,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory
1978,Economic Sciences,for his pioneering research into the decision-making process within economic organizations
1978,Literature,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life"
1978,Peace,for jointly having negotiated peace between Egypt and Israel in 1978
1978,Peace,for jointly having negotiated peace between Egypt and Israel in 1978
1978,Physics,for his basic inventions and discoveries in the area of low-temperature physics
1978,Physics,for their discovery of cosmic microwave background radiation
1978,Physics,for their discovery of cosmic microwave background radiation
1978,Physiology or Medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics
1978,Physiology or Medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics
1978,Physiology or Medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics
1979,Chemistry,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
1979,Chemistry,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
1979,Economic Sciences,for their pioneering research into economic development research with particular consideration of the problems of developing countries
1979,Economic Sciences,for their pioneering research into economic development research with particular consideration of the problems of developing countries
1979,Literature,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness"
1979,Peace,for her work for bringing help to suffering humanity
1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
1979,Physiology or Medicine,for the development of computer assisted tomography
1979,Physiology or Medicine,for the development of computer assisted tomography
1980,Chemistry,"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA"
1980,Chemistry,for their contributions concerning the determination of base sequences in nucleic acids
1980,Chemistry,for their contributions concerning the determination of base sequences in nucleic acids
1980,Economic Sciences,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies
1980,Literature,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts
1980,Peace,"for being a source of inspiration to repressed people, especially in Latin America"
1980,Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
1980,Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
1980,Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
1980,Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
1980,Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
1981,Chemistry,"for their theories, developed independently, concerning the course of chemical reactions"
1981,Chemistry,"for their theories, developed independently, concerning the course of chemical reactions"
1981,Economic Sciences,"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices"
1981,Literature,"for writings marked by a broad outlook, a wealth of ideas and artistic power"
1981,Peace,for promoting the fundamental rights of refugees
1981,Physics,for their contribution to the development of laser spectroscopy
1981,Physics,for their contribution to the development of laser spectroscopy
1981,Physics,for his contribution to the development of high-resolution electron spectroscopy
1981,Physiology or Medicine,for his discoveries concerning the functional specialization of the cerebral hemispheres
1981,Physiology or Medicine,for their discoveries concerning information processing in the visual system
1981,Physiology or Medicine,for their discoveries concerning information processing in the visual system
1982,Chemistry,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes
1982,Economic Sciences,"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation"
1982,Literature,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts"
1982,Peace,for their work for disarmament and nuclear and weapon-free zones
1982,Peace,for their work for disarmament and nuclear and weapon-free zones
1982,Physics,for his theory for critical phenomena in connection with phase transitions
1982,Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances
1982,Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances
1982,Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances
1983,Chemistry,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes"
1983,Economic Sciences,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium
1983,Literature,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today"
1983,Peace,for non-violent struggle for free trade unions and human rights in Poland
1983,Physics,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars
1983,Physics,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe
1983,Physiology or Medicine,for her discovery of mobile genetic elements
1984,Chemistry,for his development of methodology for chemical synthesis on a solid matrix
1984,Economic Sciences,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis
1984,Literature,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"
1984,Peace,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa
1984,Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
1984,Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
1984,Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
1984,Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
1984,Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
1985,Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures
1985,Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures
1985,Economic Sciences,for his pioneering analyses of saving and of financial markets
1985,Literature,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition
1985,Peace,for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war
1985,Physics,for the discovery of the quantized Hall effect
1985,Physiology or Medicine,for their discoveries concerning the regulation of cholesterol metabolism
1985,Physiology or Medicine,for their discoveries concerning the regulation of cholesterol metabolism
1986,Chemistry,for their contributions concerning the dynamics of chemical elementary processes
1986,Chemistry,for their contributions concerning the dynamics of chemical elementary processes
1986,Chemistry,for their contributions concerning the dynamics of chemical elementary processes
1986,Economic Sciences,for his development of the contractual and constitutional bases for the theory of economic and political decision-making
1986,Literature,who in a wide cultural perspective and with poetic overtones fashions the drama of existence
1986,Peace,"for being a messenger to mankind: his message is one of peace, atonement and dignity"
1986,Physics,"for his fundamental work in electron optics, and for the design of the first electron microscope"
1986,Physics,for their design of the scanning tunneling microscope
1986,Physics,for their design of the scanning tunneling microscope
1986,Physiology or Medicine,for their discoveries of growth factors
1986,Physiology or Medicine,for their discoveries of growth factors
1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
1987,Economic Sciences,for his contributions to the theory of economic growth
1987,Literature,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity"
1987,Peace,for his work for lasting peace in Central America
1987,Physics,for their important break-through in the discovery of superconductivity in ceramic materials
1987,Physics,for their important break-through in the discovery of superconductivity in ceramic materials
1987,Physiology or Medicine,for his discovery of the genetic principle for generation of antibody diversity
1988,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre
1988,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre
1988,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre
1988,Economic Sciences,for his pioneering contributions to the theory of markets and efficient utilization of resources
1988,Literature,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind"
1988,Peace,for preventing armed clashes and creating conditions for negotiations
1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
1988,Physiology or Medicine,for their discoveries of important principles for drug treatment
1988,Physiology or Medicine,for their discoveries of important principles for drug treatment
1988,Physiology or Medicine,for their discoveries of important principles for drug treatment
1989,Chemistry,for their discovery of catalytic properties of RNA
1989,Chemistry,for their discovery of catalytic properties of RNA
1989,Economic Sciences,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures
1989,Literature,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability"
1989,Peace,for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people
1989,Physics,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks
1989,Physics,for the development of the ion trap technique
1989,Physics,for the development of the ion trap technique
1989,Physiology or Medicine,for their discovery of the cellular origin of retroviral oncogenes
1989,Physiology or Medicine,for their discovery of the cellular origin of retroviral oncogenes
1990,Chemistry,for his development of the theory and methodology of organic synthesis
1990,Economic Sciences,for their pioneering work in the theory of financial economics
1990,Economic Sciences,for their pioneering work in the theory of financial economics
1990,Economic Sciences,for their pioneering work in the theory of financial economics
1990,Literature,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"
1990,Peace,for the leading role he played in the radical changes in East-West relations
1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
1990,Physiology or Medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease
1990,Physiology or Medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease
1991,Chemistry,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy
1991,Economic Sciences,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy
1991,Literature,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity
1991,Peace,for her non-violent struggle for democracy and human rights
1991,Physics,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"
1991,Physiology or Medicine,for their discoveries concerning the function of single ion channels in cells
1991,Physiology or Medicine,for their discoveries concerning the function of single ion channels in cells
1992,Chemistry,for his contributions to the theory of electron transfer reactions in chemical systems
1992,Economic Sciences,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour"
1992,Literature,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment"
1992,Peace,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples
1992,Physics,"for his invention and development of particle detectors, in particular the multiwire proportional chamber"
1992,Physiology or Medicine,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
1992,Physiology or Medicine,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
1993,Chemistry,for his invention of the polymerase chain reaction (PCR) method
1993,Chemistry,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies"
1993,Economic Sciences,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
1993,Economic Sciences,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
1993,Literature,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality"
1993,Peace,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
1993,Peace,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
1993,Physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
1993,Physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
1993,Physiology or Medicine,for their discoveries of split genes
1993,Physiology or Medicine,for their discoveries of split genes
1994,Chemistry,for his contribution to carbocation chemistry
1994,Economic Sciences,for their pioneering analysis of equilibria in the theory of non-cooperative games
1994,Economic Sciences,for their pioneering analysis of equilibria in the theory of non-cooperative games
1994,Economic Sciences,for their pioneering analysis of equilibria in the theory of non-cooperative games
1994,Literature,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today"
1994,Peace,for their efforts to create peace in the Middle East
1994,Peace,for their efforts to create peace in the Middle East
1994,Peace,for their efforts to create peace in the Middle East
1994,Physics,for the development of neutron spectroscopy
1994,Physics,for the development of the neutron diffraction technique
1994,Physiology or Medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
1994,Physiology or Medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
1995,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
1995,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
1995,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
1995,Economic Sciences,"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"
1995,Literature,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past"
1995,Peace,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
1995,Peace,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
1995,Physics,for the discovery of the tau lepton
1995,Physics,for the detection of the neutrino
1995,Physiology or Medicine,for their discoveries concerning the genetic control of early embryonic development
1995,Physiology or Medicine,for their discoveries concerning the genetic control of early embryonic development
1995,Physiology or Medicine,for their discoveries concerning the genetic control of early embryonic development
1996,Chemistry,for their discovery of fullerenes
1996,Chemistry,for their discovery of fullerenes
1996,Chemistry,for their discovery of fullerenes
1996,Economic Sciences,for their fundamental contributions to the economic theory of incentives under asymmetric information
1996,Economic Sciences,for their fundamental contributions to the economic theory of incentives under asymmetric information
1996,Literature,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality
1996,Peace,for their work towards a just and peaceful solution to the conflict in East Timor
1996,Peace,for their work towards a just and peaceful solution to the conflict in East Timor
1996,Physics,for their discovery of superfluidity in helium-3
1996,Physics,for their discovery of superfluidity in helium-3
1996,Physics,for their discovery of superfluidity in helium-3
1996,Physiology or Medicine,for their discoveries concerning the specificity of the cell mediated immune defence
1996,Physiology or Medicine,for their discoveries concerning the specificity of the cell mediated immune defence
1997,Chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
1997,Chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
1997,Chemistry,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase"
1997,Economic Sciences,for a new method to determine the value of derivatives
1997,Economic Sciences,for a new method to determine the value of derivatives
1997,Literature,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden
1997,Peace,for their work for the banning and clearing of anti-personnel mines
1997,Peace,for their work for the banning and clearing of anti-personnel mines
1997,Physics,for development of methods to cool and trap atoms with laser light
1997,Physics,for development of methods to cool and trap atoms with laser light
1997,Physics,for development of methods to cool and trap atoms with laser light
1997,Physiology or Medicine,for his discovery of Prions - a new biological principle of infection
1998,Chemistry,for his development of the density-functional theory
1998,Chemistry,for his development of computational methods in quantum chemistry
1998,Economic Sciences,for his contributions to welfare economics
1998,Literature,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality"
1998,Peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland
1998,Peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland
1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations
1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations
1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations
1998,Physiology or Medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
1998,Physiology or Medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
1998,Physiology or Medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
1999,Chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy
1999,Economic Sciences,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas
1999,Literature,whose frolicsome black fables portray the forgotten face of history
1999,Peace,in recognition of the organisation's pioneering humanitarian work on several continents
1999,Physics,for elucidating the quantum structure of electroweak interactions in physics
1999,Physics,for elucidating the quantum structure of electroweak interactions in physics
